title,description,owner,platform,catalog_path,location,table_type,data_source_format,column_name,column_type,column_description,ordinal_position
checkout_g4_deals,null,aws-root@g4educacao.com,Databricks,production.bronze.checkout_g4_deals,null,STREAMING_TABLE,UNKNOWN_DATA_SOURCE_FORMAT,deal_id,STRING,ID único do negócio,0
checkout_g4_deals,null,aws-root@g4educacao.com,Databricks,production.bronze.checkout_g4_deals,null,STREAMING_TABLE,UNKNOWN_DATA_SOURCE_FORMAT,updated_at,STRING,Data e hora da última atualização,1
checkout_g4_deals,null,aws-root@g4educacao.com,Databricks,production.bronze.checkout_g4_deals,null,STREAMING_TABLE,UNKNOWN_DATA_SOURCE_FORMAT,updated_by,STRING,ID do usuário que realizou a última atualização,2
checkout_g4_deals,null,aws-root@g4educacao.com,Databricks,production.bronze.checkout_g4_deals,null,STREAMING_TABLE,UNKNOWN_DATA_SOURCE_FORMAT,created_at,STRING,Data e hora da criação do registro,3
checkout_g4_deals,null,aws-root@g4educacao.com,Databricks,production.bronze.checkout_g4_deals,null,STREAMING_TABLE,UNKNOWN_DATA_SOURCE_FORMAT,created_by,STRING,ID do usuário que criou o registro,4
checkout_g4_deals,null,aws-root@g4educacao.com,Databricks,production.bronze.checkout_g4_deals,null,STREAMING_TABLE,UNKNOWN_DATA_SOURCE_FORMAT,hs_deal_id,STRING,ID do negócio no HubSpot,5
checkout_g4_deals,null,aws-root@g4educacao.com,Databricks,production.bronze.checkout_g4_deals,null,STREAMING_TABLE,UNKNOWN_DATA_SOURCE_FORMAT,_g4_ingestion_datetime,TIMESTAMP,Data e hora em que o dado foi ingerido da fonte,6
checkout_g4_deals,null,aws-root@g4educacao.com,Databricks,production.bronze.checkout_g4_deals,null,STREAMING_TABLE,UNKNOWN_DATA_SOURCE_FORMAT,_g4_loaded_datetime,TIMESTAMP,Data e hora em que o dado foi carregado na tabela,7
checkout_g4_deals,null,aws-root@g4educacao.com,Databricks,production.bronze.checkout_g4_deals,null,STREAMING_TABLE,UNKNOWN_DATA_SOURCE_FORMAT,_g4_source_type,STRING,Indica se o dado veio de origem streaming ou batch,8
contracts_platform_contracts,null,aws-root@g4educacao.com,Databricks,production.bronze.contracts_platform_contracts,null,STREAMING_TABLE,UNKNOWN_DATA_SOURCE_FORMAT,contract_id,STRING,Identificador único do Contrato.,0
contracts_platform_contracts,null,aws-root@g4educacao.com,Databricks,production.bronze.contracts_platform_contracts,null,STREAMING_TABLE,UNKNOWN_DATA_SOURCE_FORMAT,created_at,STRING,Timestamp da criação.,1
contracts_platform_contracts,null,aws-root@g4educacao.com,Databricks,production.bronze.contracts_platform_contracts,null,STREAMING_TABLE,UNKNOWN_DATA_SOURCE_FORMAT,created_by,STRING,Usuário que criou o contrato.,2
contracts_platform_contracts,null,aws-root@g4educacao.com,Databricks,production.bronze.contracts_platform_contracts,null,STREAMING_TABLE,UNKNOWN_DATA_SOURCE_FORMAT,updated_at,STRING,Timestamp da última atualização.,3
contracts_platform_contracts,null,aws-root@g4educacao.com,Databricks,production.bronze.contracts_platform_contracts,null,STREAMING_TABLE,UNKNOWN_DATA_SOURCE_FORMAT,updated_by,STRING,Usuário que realizou a última atualização.,4
contracts_platform_contracts,null,aws-root@g4educacao.com,Databricks,production.bronze.contracts_platform_contracts,null,STREAMING_TABLE,UNKNOWN_DATA_SOURCE_FORMAT,name,STRING,Nome.,5
contracts_platform_contracts,null,aws-root@g4educacao.com,Databricks,production.bronze.contracts_platform_contracts,null,STREAMING_TABLE,UNKNOWN_DATA_SOURCE_FORMAT,document,STRING,Documento.,6
contracts_platform_contracts,null,aws-root@g4educacao.com,Databricks,production.bronze.contracts_platform_contracts,null,STREAMING_TABLE,UNKNOWN_DATA_SOURCE_FORMAT,email,STRING,Documento.,7
contracts_platform_contracts,null,aws-root@g4educacao.com,Databricks,production.bronze.contracts_platform_contracts,null,STREAMING_TABLE,UNKNOWN_DATA_SOURCE_FORMAT,status,STRING,Status do contrato.,8
